Journal Title	ISSN	ESSN	RoMEO Record ID	Updated
Acute Cardiac Care	1748-2941	1748-295X	1141	2014-03-26
Acute Medicine and Surgery		2052-8817	2050	2017-11-24
Acute Pain	1366-0071		30	2015-05-01
Ad Fontes	1613-947X		1084	2018-03-13
Ad Hoc Networks	1570-8705		30	2015-05-01
AD-minister	1692-0279	2256-4322	1645	2013-09-12
Ad verba Liberorum		1691-5771	1851	2018-05-02
Adaptation	1755-0637	1755-0645	1480	2017-01-13
Adapted Physical Activity Quarterly	0736-5829	1543-2777	300	2017-02-02
Adaptive Behavior	1059-7123	1741-2633	65	2013-03-11
Adaptive Human Behavior and Physiology		2198-7335	74	2014-08-27
Addiction	0965-2140	1360-0443	2050	2017-11-24
addiction and health	2008-4633	2008-8469	1414	2014-08-08
Addiction Biology	1355-6215	1369-1600	2050	2017-11-24
Addiction Genetics		2084-7688	1851	2018-05-02
Addiction Research and Theory	1606-6359	1476-7392	1141	2014-03-26
Addiction Science and Clinical Practice		1940-0640	22	2015-11-23
Addictive Behaviors	0306-4603		30	2015-05-01
Addictive Behaviors Reports		2352-8532	2252	2016-03-21
Addictive Disorders and Their Treatment	1531-5754		48	2016-09-26
Additive Manufacturing	2214-7810	2214-8604	30	2017-02-21
Additives for Polymers	0306-3747		265	2015-06-24
ADE Bulletin	0001-0898		1295	2012-06-29
Adelphi Papers		0567-932X	1600	2014-03-26
Adelphi Series	1944-5571	1944-558X	1600	2014-03-26
Adeptus		2300-0783	2213	2015-01-14
ADFL Bulletin	0148-7639		1295	2012-06-29
ADHD Attention Deficit and Hyperactivity Disorders	1866-6116	1866-6647	74	2014-08-28
ADHD in practice	2041-2215	2045-7766	3100	2017-10-02
ADHD Report	1065-8025		371	2018-02-22
Adhoc and Sensor Wireless Networks	1551-9899	1552-0633	503	2013-10-08
ADIP Magazine	2191-2017	2196-2359	2291	2015-08-21
Adipobiology		1313-3705	2021	2014-07-31
Adipocyte	2162-3945	2162-397X	1141	2014-11-27
Adipositas - Ursachen, Folgeerkrankungen, Therapie	1865-1739		243	2013-03-20
Administração: Ensino e Pesquisa	2177-6083	2358-0917	2666	2015-09-16
Administration and Policy in Mental Health and Mental Health Services Research	0894-587X	1573-3289	74	2014-08-28
Administration and Society	0095-3997	1552-3039	65	2013-03-11
Administration in Social Work	0364-3107	1544-4376	1139	2014-03-26
Administrative and Regulatory Law News	0567-9494		632	2011-08-12
Administrative Law Review	0001-8368		632	2011-08-12
Administrative Science Quarterly	0001-8392	1930-3815	3234	2018-04-09
Administrative Sciences		2076-3387	487	2016-12-14
Administrative Theory and Praxis	1084-1806	1949-0461	1140	2015-07-15
Adnotationes In Ius Canonicum	0946-9176		1084	2018-03-13
Adolescent Cultures, School, and Society	1091-1464		1084	2018-03-13
Adolescent Health, Medicine and Therapeutics		1179-318X	407	2014-01-30
Adolescent Psychiatry		2210-6766	316	2016-12-07
Adoption and Fostering	0308-5759	1740-469X	65	2013-06-17
Adoption Quarterly	1092-6755	1544-452X	1139	2014-03-26
adreizehn	2198-6703		2291	2015-08-21
Adsorption	0929-5607	1572-8757	74	2014-08-28
Adsorption Science and Technology	0263-6174	2048-4038	65	2016-12-15
Adult Education Quarterly	0741-7136	1552-3047	65	2013-03-11
Adult Learning	1045-1595	2162-4070	65	2013-06-17
Adultspan Journal	1524-6817	2161-0029	2050	2017-11-24
Advanced Arab Academy of Audio-Vestibulogy Journal	2314-8667	2314-8675	89	2017-03-09
Advanced Biomedical Research		2277-9175	89	2014-08-26
Advanced Composite Materials	0924-3046	1568-5519	1141	2014-03-26
Advanced Drug Delivery Reviews	0169-409X	1872-8294	2823	2018-01-17
Advanced Electronic Materials		2199-160X	2050	2017-11-24
Advanced Emergency Nursing Journal	1931-4485	1931-4493	48	2016-09-26
Advanced Energy Materials	1614-6832	1614-6840	2050	2017-11-24
Advanced Engineering Forum	2234-9898	2234-991X	303	2016-11-08
Advanced Engineering Informatics	1474-0346		30	2015-05-01
Advanced Engineering Materials	1438-1656	1527-2648	2050	2017-11-24
Advanced Functional Materials	1616-301X	1616-3028	2050	2017-11-24
Advanced Health Care Technologies		2350-269X	407	2014-01-30
Advanced Healthcare Materials	2192-2640	2192-2659	2050	2017-11-24
Advanced Materials	0935-9648	1521-4095	2050	2017-11-24
Advanced Materials Interfaces		2196-7350	2050	2017-11-24
Advanced Materials Research	1022-6680	1662-8985	303	2016-11-08
Advanced Materials Technologies		2365-709X	2050	2017-11-24
Advanced Modeling and Simulation in Engineering Sciences		2213-7467	948	2015-12-18
Advanced Optical Materials		2195-1071	2050	2017-11-24
Advanced Optical Technologies	2192-8584		414	2014-04-01
Advanced Performance Materials	0929-1881	1572-8765	74	2014-05-16
Advanced Pharmaceutical Bulletin		2228-5881	2922	2016-12-14
Advanced Powder Technology	0921-8831	1568-5527	30	2015-05-01
Advanced Robotics	0169-1864	1568-5535	1141	2014-03-26
Advanced Science		2198-3844	1032	2016-10-27
Advanced Science Letters	1936-6612	1936-7317	529	2017-02-28
Advanced Steel Construction	1816-112X		2639	2015-09-03
Advanced Structural and Chemical Imaging		2198-0926	948	2015-12-22
Advanced Studies (Estudios Avanzados)		0718-5014	2603	2015-09-08
Advanced Studies in Biology		1313-9495	1837	2014-05-15
Advanced Studies in Medical Sciences		2367-4806	1837	2014-05-15
Advanced Synthesis and Catalysis	1615-4150	1615-4169	2050	2017-11-24
Advanced Technology for Learning	1710-2251		483	2010-07-26
Advancements in Genetic Engineering		2169-0111	672	2015-04-28
Advances	1470-3556		335	2010-09-08
Advances and Applications in Bioinformatics and Chemistry	1178-6949		407	2014-01-30
Advances in Accounting	0882-6110		30	2015-05-01
Advances in Acoustics and Vibration	1687-6261	1687-627X	100	2018-01-08
Advances in Adaptive Data Analysis	1793-5369	1793-7175	155	2014-10-29
Advances in Aerospace Engineering	2356-6531	2314-7520	100	2018-01-08
Advances in Aerospace Science and Technology	2473-6708	2473-6724	1018	2017-11-09
Advances in Aging Research	2169-0499	2169-0502	1018	2014-11-19
Advances in Agriculture	2356-654X	2314-7539	100	2018-01-08
Advances in Alzheimer's Disease	2169-2459	2169-2467	1018	2014-11-19
Advances in Analytical Chemistry	2163-1557	2163-1565	1326	2012-09-04
Advances in Anatomic Pathology	1072-4109	1533-4031	48	2016-09-26
Advances in Anatomy	2356-6558	2314-7547	100	2018-01-08
Advances in Andrology	2356-6566	2314-8446	100	2018-01-08
Advances in Anesthesia	0737-6146		2823	2017-08-08
Advances in Anesthesiology	2356-6574	2314-7555	100	2018-01-08
Advances in Animal Biosciences	2040-4700	2040-4719	2129	2014-10-09
Advances in Anthropology	2163-9353	2163-9361	1018	2014-12-05
Advances in Applied Biomedicine	2305-1604		1007	2013-06-17
Advances in Applied Ceramics	1743-6753	1743-6761	1141	2016-04-13
Advances in Applied Clifford Algebras	0188-7009	1661-4909	74	2014-05-16
Advances in Applied Mathematics	2324-7991	2324-8009	1326	2012-11-14
Advances in Applied Probability	0001-8678		385	2017-06-27
Advances in Applied Sociology	2165-4328	2165-4336	1018	2014-11-19
Advances in Aquaculture and Fisheries Management		9424-2933	2634	2015-11-17
Advances in Archaeological Practice		2326-3768	3002	2017-07-17
Advances in Artificial Intelligence	1687-7470	1687-7489	100	2018-01-08
Advances in Artificial Neural Systems	1687-7594	1687-7608	100	2018-01-08
Advances in Astronomy	1687-7969	1687-7977	100	2018-01-08
Advances in Atmospheric Sciences	0256-1530	1861-9533	74	2014-08-28
Advances in Autism	2056-3868		31	2018-02-16
Advances in Automobile Engineering		2167-7670	672	2015-04-28
Advances in Bioinformatics	1687-8027	1687-8035	100	2018-01-08
Advances in Biological Chemistry	2162-2183	2162-2191	1018	2014-12-05
Advances in Biological Regulation		2212-4926	2823	2017-08-08
Advances in Biology	2356-6582	2314-7563	100	2018-01-08
Advances in Biomaterials	2356-6590	2314-7873	100	2018-01-08
Advances in Bioscience and Bioengineering		2201-8336	1928	2014-05-22
Advances in Bioscience and Biotechnology	2156-8456	2156-8502	1018	2014-11-19
Advances in Bioscience and Clinical Medicine		2203-1413	1813	2014-03-13
Advances in Botany	2356-6604	2314-7857	100	2018-01-08
Advances in Breast Cancer Research	2168-1589	2168-1597	1018	2014-11-19
Advances in Building Energy Research	1751-2549	1756-2201	1141	2014-03-26
Advances in Calculus of Variations	1864-8258	1864-8266	414	2014-04-01
Advances in Cell Biology		2080-2218	1851	2018-05-02
Advances in Cement Research	0951-7197	1751-7605	406	2018-03-28
Advances in Chemical Engineering and Science	2160-0392	2160-0406	1018	2014-11-19
Advances in Chemical Physics	0065-2385	1934-4791	1499	2014-03-18
Advances in Chemistry	2356-6612	2314-7571	100	2018-01-08
Advances in Chemistry and Biochemistry Sciences		2423-6748	2786	2016-05-19
Advances in Chronic Kidney Disease	1548-5595		985	2014-01-07
Advances in Civil Engineering	1687-8086	1687-8094	100	2018-01-08
Advances in Clinical Medicine	2161-8712	2161-8720	1326	2012-09-04
Advances in Clinical Neuroscience and Rehabilitation	1473-9348		339	2010-08-02
Advances in Colloid and Interface Science	0001-8686	1095-7103	30	2017-12-12
Advances in Complex Systems	0219-5259	1793-6802	155	2014-10-29
Advances in Computational Mathematics	1019-7168	1572-9044	74	2014-08-28
Advances in Computational Research	0975-3273	0975-9085	994	2013-08-09
Advances in Computed Tomography	2169-2475	2169-2483	1018	2014-11-19
Advances in Computer Engineering	2356-6620	2314-7601	100	2018-01-08
Advances In Computers	0065-2458		30	2015-05-01
Advances in Condensed Matter Physics	2326-3512	2326-3520	1326	2013-03-06
Advances in Contraception	0267-4874	1573-7195	74	2014-05-16
Advances in Critical Care	2356-6639	2314-7717	100	2018-01-08
Advances in Crop Science and Technology		2329-8863	672	2015-04-28
Advances in Dairy Research		2329-888X	672	2015-04-28
Advances in Data Analysis and Classification	1862-5347	1862-5355	74	2014-08-28
Advances in Decision Sciences	2090-3359	2090-3367	100	2018-01-08
Advances in Dermatology and Allergology	1642-395X	2299-0046	3007	2018-02-12
Advances in Developing Human Resources	1523-4223	1552-3055	65	2013-03-11
Advances in Difference Equations	1687-1839	1687-1847	948	2015-12-22
Advances in Differential Equations	1079-9389		734	2014-02-25
Advances in Dual Diagnosis	1757-0972	2042-8324	31	2018-02-16
Advances in Eating Disorders: Theory, Research and Practice	2166-2630	2166-2649	1139	2014-03-26
Advances in Ecology	2356-6647	2314-761X	100	2018-01-08
Advances in Education	2160-729X	2160-7303	1326	2012-09-04
Advances in Electrical and Computer Engineering	1582-7445	1844-7600	2489	2015-09-28
Advances in Electrical Engineering	2356-6655	2314-7636	100	2018-01-08
Advances in Electrochemical Science and Engineering	0938-5193		79	2017-11-24
Advances in Electronics	2356-6663	2314-7881	100	2018-01-08
Advances in Emergency Medicine	2356-6671	2314-7644	100	2018-01-08
Advances in Endocrinology	2356-668X	2314-7903	100	2018-01-08
Advances in Energy and Power Engineering	2328-0514	2328-0506	1326	2014-12-05
Advances in Engineering Education	1941-1766		640	2010-11-09
Advances in Engineering Software	0965-9978		30	2015-05-01
Advances in Entomology	2331-1991	2331-2017	1018	2014-12-05
Advances in Environmental Chemistry	2356-6698	2314-7652	100	2018-01-08
Advances in Environmental Protection	2164-5485	2164-5493	1326	2012-09-04
Advances in Enzyme Regulation	0065-2571		30	2015-05-01
Advances in Enzyme Research	2328-4846	2328-4854	1018	2014-12-05
Advances in Enzymology and Related Areas of Molecular Biology		1934-4694	1499	2014-03-18
Advances in Epidemiology	2356-6701	2314-7628	100	2018-01-08
Advances in Food Science and Technology		6732-4215	2634	2015-11-17
Advances in Fuzzy Systems	1687-7101	1687-711X	100	2018-01-08
Advances in Gene, Molecular and Cell Therapy	1749-0448		480	2014-09-16
Advances in Genetic Engineering and Biotechnology		2324-9021	672	2015-04-28
Advances in Genomics and Genetics	1179-9870	1179-9870	407	2014-01-30
Advances in Geometry	1615-715X	1615-7168	414	2014-04-01
Advances in Geosciences	2163-3967	2163-3975	1326	2012-09-04
Advances in Geriatrics	2356-6736	2314-7679	100	2018-01-08
Advances in Gerontology	2079-0570	2079-0589	74	2014-05-16
Advances in Head and Neck Surgery	1643-9279	2084-9842	3007	2018-02-12
Advances in Health Sciences Education	1382-4996	1573-1677	74	2014-08-28
Advances in Heart and Lung Transplantation	1930-2134		30	2015-05-01
Advances in Hematology	1687-9104	1687-9112	100	2018-01-08
Advances in Hepatology	2356-6744	2314-7709	100	2018-01-08
Advances in High Energy Physics	1687-7357	1687-7365	100	2018-01-08
Advances in Historical Studies	2327-0438	2327-0446	1018	2014-12-05
Advances in Horticultural Science	0394-6169	1592-1573	1933	2014-05-22
Advances in Hospitality and Tourism Research		2147-9100	1684	2015-01-05
Advances in Human Biology	2321-8568	2348-4691	89	2017-03-09
Advances in Human-Computer Interaction	1687-5893	1687-5907	100	2018-01-08
Advances in Imaging and Electron Physics	1076-5670		30	2015-05-01
Advances in Infectious Diseases	2164-2648	2164-2656	1018	2014-12-05
Advances in Information Mining	0975-3265	0975-9093	994	2013-08-09
Advances in Integrative Omics and Applied Biotechnology		2213-0802	948	2013-03-07
Advances in Intelligent Systems and Computing		2194-5357	74	2017-02-06
Advances in International Management	1571-5027		31	2018-02-16
Advances in Internet of Things	2161-6817	2161-6825	1018	2014-11-19
Advances in Interventional Cardiology	1734-9338	1897-4295	3007	2018-02-12
Advances in Journalism and Communication	2328-4927	2328-4935	1018	2014-12-05
Advances in Language and Literary Studies		2203-4714	1813	2014-03-13
Advances in Librarianship	0065-2830		31	2018-02-16
Advances in Life Course Research	1040-2608		30	2015-05-01
Advances in Life Science and Medicine		2476-3853	2786	2016-05-19
Advances in Linear Algebra and Matrix Theory	2165-333X	2165-3348	1018	2014-11-19
Advances in Literary Study	2327-4034	2327-4050	1018	2014-12-05
Advances in Lung Cancer	2169-2718	2169-2726	1018	2014-11-19
Advances in Management and Applied Economics	1792-7544	1792-7552	2152	2015-08-07
Advances in Manufacturing Science and Technology		2300-2565	1851	2018-05-02
Advances in Material Chemistry	2331-012X	2331-0146	1326	2014-12-05
Advances in Materials Physics and Chemistry	2162-531X	2162-5328	1018	2015-01-27
Advances in Materials Science		2083-4799	1851	2018-05-02
Advances in Materials Science and Engineering	1687-8434	1687-8442	100	2018-01-08
Advances in Mathematical Physics	1687-9120	1687-9139	100	2018-01-08
Advances in Mathematics	0001-8708		30	2015-05-01
Advances in Mathematics of Communications	1930-5346	1930-5338	477	2016-05-06
Advances in Mechanical Engineering	1687-8132	1687-8140	1402	2016-10-20
Advances in Medical Education and Practice		1179-7258	407	2014-01-30
Advances in Medical Informatics	2249-9466	2249-9474	994	2013-08-09
Advances in Medical Sciences		1898-4002	2823	2017-08-08
Advances in Medicine	2356-6752	2314-758X	100	2018-01-08
Advances in Mental Health	1838-7357	1837-4905	1139	2018-02-07
Advances in Mental Health and Intellectual Disabilities	2044-1282	2044-1290	31	2018-02-16
Advances in Mental Health and Learning Disabilities	1753-0180		31	2018-02-16
Advances in Meteorology	1687-9309	1687-9317	100	2018-01-08
Advances in Microbiology	2327-0810	2327-0829	1326	2013-03-06
Advances in Molecular Imaging	2161-6728	2161-6752	1018	2014-11-19
Advances in Multimedia	1687-5680	1687-5699	100	2018-01-08
Advances in Nanoparticles	2169-0510	2169-0529	1018	2014-11-19
Advances in Natural Sciences: Nanoscience and Nanotechnology	2043-6254	2043-6262	1275	2013-03-21
Advances in Neonatal Care	1536-0903	1536-0911	48	2016-09-26
Advances in Nephrology	2356-6779	2314-792X	100	2018-01-08
Advances in Neuroimmune Biology	1878-948X		44	2016-04-18
Advances in Neuroscience	2356-6787	2314-789X	100	2018-01-08
Advances in Nonlinear Analysis	2191-950X		414	2014-04-01
Advances in Nonlinear Optics	1687-7276	1687-7284	100	2018-01-08
Advances in Numerical Analysis	1687-9562	1687-9570	100	2018-01-08
Advances in Nursing	2356-6795	2314-7725	100	2018-01-08
Advances in Nursing Science	0161-9268	1550-5014	48	2016-09-26
Advances in Nutrition		2156-5376	3238	2018-04-19
Advances in Oceanography and Limnology	1947-5721	1947-573X	1141	2014-03-26
Advances in Operations Research	1687-9147	1687-9155	100	2018-01-08
Advances in Ophthalmology and Vision Science		2043-7331	580	2017-11-24
Advances in Optical Technologies	1687-6393	1687-6407	100	2018-01-08
Advances in Optics	2356-6817	2314-7741	100	2018-01-08
Advances in Optics and Photonics	1943-8206		2306	2015-06-11
Advances in OptoElectronics	1687-563X	1687-5648	100	2018-01-08
Advances in Orthopedic Surgery	2356-6825	2314-8233	100	2018-01-08
Advances in Orthopedics	2090-3464	2090-3472	100	2018-01-08
Advances in Otolaryngology	2356-6833	2314-7938	100	2018-01-08
Advances in Parkinson's Disease	2169-9712	2169-9720	1018	2015-01-09
Advances in Pediatrics	0065-3101		2823	2017-08-08
Advances in Pharmaceutics	2356-6841	2314-775X	100	2018-01-08
Advances in Pharmacoepidemiology and Drug Safety		2167-1052	672	2015-04-28
Advances in Pharmacological Sciences	1687-6334	1687-6342	100	2018-01-08
Advances in Philosophy	2169-2599	2169-2602	1326	2012-09-04
Advances in Photochemistry		1934-4570	1499	2014-03-18
Advances in Physical Chemistry	1687-7985	1687-7993	100	2018-01-08
Advances in Physical Education	2164-0386	2164-0408	1018	2015-01-09
Advances in Physical Sciences	2334-3400	2334-3478	1326	2014-12-05
Advances in Physics	0001-8732	1460-6976	1141	2014-03-26
Advances in Physics: X		2374-6149	1200	2017-08-29
Advances in Physiology Education	1043-4046	1522-1229	11	2016-02-09
Advances in Physiotherapy	1403-8196	1651-1948	1141	2014-03-26
Advances in Polymer Technology	0730-6679	1098-2329	2050	2017-11-24
Advances in Porous Flow	2164-5639	2164-5663	1326	2012-09-04
Advances in Power Electronics	2090-181X	2090-1828	100	2018-01-08
Advances in Preventive Medicine	2090-3480	2090-3499	100	2018-01-08
Advances in Psychiatric Treatment	1355-5146	1472-1481	139	2017-05-15
Advances in Psychiatry	2356-685X	2314-7768	100	2018-01-08
Advances in Psychology	2160-7273	2160-7281	1326	2012-09-04
Advances in Psychology Research		1532-723X	1800	2015-05-22
Advances in Public Health	2356-6868	2314-7784	100	2018-01-08
Advances in Pure and Applied Mathematics	1867-1152	1869-6090	414	2014-04-01
Advances in Pure Mathematics	2160-0368	2160-0384	1018	2014-11-19
Advances in Radiation Oncology		2452-1094	2191	2018-01-19
Advances in Radio Science	1684-9965	1684-9973	215	2014-06-27
Advances in Radiology	2356-6876	2314-7792	100	2018-01-08
Advances in Rehabilitation		1734-4948	1851	2018-05-02
Advances in Remote Sensing	2169-267X	2169-2688	1018	2014-11-19
Advances in Reproductive Sciences	2330-0744	2330-0752	1018	2014-12-05
Advances in Research		2348-0394	1014	2015-03-17
Advances in Robotics and Automation		2168-9695	672	2015-04-28
Advances in School Mental Health Promotion	1754-730X		1139	2014-03-26
